Mineral,Reference,Analysis Type,Location,Site,Section,Img. Ref. No.,Enclosing Phase,Na2O_pct,MgO_pct,Al2O3_pct,SiO2_pct,K2O_pct,CaO_pct,TiO2_pct,V2O5_pct,Cr2O3_pct,MnO_pct,FeO_pct,NiO_pct,CoO_pct,ZnO_pct,Total_pct,Sumox,Cr_apfu,Ti_apfu,V_apfu,Al_apfu,Fe2_apfu,Fe3_apfu,Mn_apfu,Mg_apfu,Co_apfu,Zn_apfu,Ni_apfu,Tot_cat,Mgno,Fe3no
spinel,"Barnes and Kunilov, 2000",WDS,Norilsk,Chibacheka River Intrusion,UK35-151.7,7A,pyroxene,,9.55,14.14,0.05,,,2.13,0.595741243,36.9,0.24,32.84968773,0.15041257,0.035397516,0.12,,1.806234974,1.075312775,0.059062095,0.014507522,0.614243287,0.528036186,0.161514401,0.007492451,0.524736127,0.001046141,0.003265537,0.004459575,2.993676097,0.498432681,0.087254594
spinel,"Barnes and Kunilov, 2000",WDS,Norilsk,Chibacheka River Intrusion,UK35-151.7,2A,silicate,,5.87,12.33,0.07,,,0.78,0.592685181,37.97,0.31,39.4396291,0.120635462,0.0379913,0.12,,1.721698507,1.160823471,0.02269034,0.015141775,0.561915783,0.676220469,0.199727826,0.010152932,0.33837077,0.001177928,0.003425877,0.003752334,2.993399504,0.333504526,0.103891415
spinel,"Barnes and Kunilov, 2000",WDS,Norilsk,Chibacheka River Intrusion,UK35-151.7,1B,silicate,,2.99,3.3,,,,7.25,1.36446421,17.65,0.38,62.4393154,0.225714295,0.034746527,0.12,,1.362159915,0.682023439,0.26657131,0.044059937,0.190086424,1.048717632,0.501137317,0.015730496,0.21784868,0.001361679,0.004330129,0.0088739,2.980740943,0.171999427,0.364928706
spinel,"Barnes and Kunilov, 2000",WDS,Norilsk,Chibacheka River Intrusion,UK35-151.7,6,silicate,,3.95,4.43,0.07,,,7.04,1.334787198,17.58,0.36,61.11931948,0.246870039,0.03033201,0.09,,1.392873999,0.664338965,0.253142068,0.042151207,0.249549757,0.972269683,0.490273379,0.01457396,0.281447312,0.001162468,0.003175984,0.009491615,2.981576399,0.224490306,0.349157251
spinel,"Barnes and Kunilov, 2000",WDS,Norilsk,Chibacheka River Intrusion,UK35-151.7,5,silicate,,3.87,4.73,0.03,,,7.04,1.0159713,21.52,0.35,56.72940129,0.2247599,0.037737007,0.11,,1.444343248,0.784250019,0.244121337,0.030940038,0.256954355,0.972335808,0.404823447,0.01366421,0.26592085,0.001394725,0.003743432,0.008333587,2.986481809,0.214754226,0.279955504
spinel,"Barnes and Kunilov, 2000",WDS,Norilsk,Chibacheka River Intrusion,UK35-151.7,5B,,,5.01,11.31,0.03,,,0.79,0.594786224,37.37,0.34,41.95959636,0.114221932,0.036923271,0.2,,1.682893724,1.168823928,0.023511151,0.015545834,0.527316269,0.7167032,0.223826603,0.01139224,0.295456042,0.001171211,0.005841454,0.003634765,2.993222697,0.291906678,0.116578371
spinel,"Barnes and Kunilov, 2000",WDS,Norilsk,Chibacheka River Intrusion,UK35-151.7,4D,,,3.32,3.76,,,,7.47,1.190811295,18.72,0.34,61.12933753,0.242575264,0.033464893,0.13,,1.397556305,0.705048864,0.267703952,0.037478608,0.211097839,1.028840977,0.468820663,0.01371818,0.235765694,0.001278238,0.004572163,0.009295244,2.983620421,0.186434011,0.33850665
spinel,"Barnes and Kunilov, 2000",WDS,Norilsk,Chibacheka River Intrusion,UK35-210.5,3C,olivine,,3.35,4.42,0.05,,,6.17,0.00095,20.35,0.34,63.31926261,0.00125,0.00112,,,1.382326491,0.7748836,0.223551727,3.02E-05,0.25088627,0.969094378,0.527081851,0.013869321,0.240517132,4.33E-05,,4.84E-05,3.000006185,0.19883833,0.33942832
spinel,"Barnes and Kunilov, 2000",WDS,Norilsk,Chibacheka River Intrusion,UK35-210.5,3,olivine,,2.73,2.47,0.06,,,12.24,0.00095,11.19,0.35,69.22924581,0.00125,0.00112,0.16,,1.366695728,0.430963943,0.448552288,3.06E-05,0.141804618,1.230040522,0.530075678,0.014440529,0.198245186,4.37E-05,0.005754344,4.90E-05,3.000000409,0.138799391,0.480644192
spinel,"Barnes and Kunilov, 2000",WDS,Norilsk,Chibacheka River Intrusion,UK35-210.5,1F,silicate,,4.4,6.09,,,,6.06,0.00095,22.81,0.39,59.23932412,0.00125,0.00112,0.12,,1.473721852,0.814690118,0.205949431,2.84E-05,0.324240325,0.890646458,0.449130292,0.014922308,0.296311833,4.06E-05,0.004002334,4.54E-05,3.000007446,0.249639634,0.282816823
